[2026-06-13 00:03:13.288] 收到乱序 seq=27, 期望 23
[2026-06-13 00:03:13.289] 收到乱序 seq=29, 期望 23
[2026-06-13 00:03:13.289] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=30
[2026-06-13 00:03:13.605] 收到数据 seq=23, len=56
[2026-06-13 00:03:13.607] 收到乱序 seq=28, 期望 23
[2026-06-13 00:03:13.608] 模拟丢包：来自 ('192.168.169.1', 52096) seq=24
[2026-06-13 00:03:13.606] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=25
[2026-06-13 00:03:13.609] 收到乱序 seq=26, 期望 23
[2026-06-13 00:03:13.612] 收到乱序 seq=30, 期望 24
[2026-06-13 00:03:13.611] 模拟丢包：来自 ('192.168.169.1', 52096) seq=29
[2026-06-13 00:03:13.611] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=27
[2026-06-13 00:03:13.936] 收到数据 seq=24, len=52
[2026-06-13 00:03:13.938] 收到乱序 seq=25, 期望 24
[2026-06-13 00:03:13.940] 模拟丢包：来自 ('192.168.169.1', 52096) seq=26
[2026-06-13 00:03:13.941] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=27
[2026-06-13 00:03:13.942] 收到乱序 seq=28, 期望 25
[2026-06-13 00:03:13.942] 收到乱序 seq=29, 期望 25
[2026-06-13 00:03:13.943] 收到乱序 seq=30, 期望 25
[2026-06-13 00:03:14.256] 模拟丢包：来自 ('192.168.169.1', 52096) seq=25
[2026-06-13 00:03:14.257] 模拟丢包：来自 ('192.168.169.1', 52096) seq=26
[2026-06-13 00:03:14.266] 模拟丢包：来自 ('192.168.169.1', 52096) seq=27
[2026-06-13 00:03:14.267] 收到乱序 seq=28, 期望 25
[2026-06-13 00:03:14.267] 收到乱序 seq=29, 期望 25
[2026-06-13 00:03:14.269] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=30
[2026-06-13 00:03:14.587] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=25
[2026-06-13 00:03:14.587] 模拟丢包：来自 ('192.168.169.1', 52096) seq=26
[2026-06-13 00:03:14.588] 收到乱序 seq=28, 期望 25
[2026-06-13 00:03:14.588] 收到乱序 seq=27, 期望 25
[2026-06-13 00:03:14.589] 收到乱序 seq=29, 期望 25
[2026-06-13 00:03:14.590] 收到乱序 seq=30, 期望 25
[2026-06-13 00:03:14.896] 收到数据 seq=25, len=63
[2026-06-13 00:03:14.898] 收到乱序 seq=26, 期望 25
[2026-06-13 00:03:14.899] 模拟丢包：来自 ('192.168.169.1', 52096) seq=27
[2026-06-13 00:03:14.899] 收到乱序 seq=28, 期望 25
[2026-06-13 00:03:14.899] 收到乱序 seq=29, 期望 25
[2026-06-13 00:03:14.901] 收到乱序 seq=30, 期望 26
[2026-06-13 00:03:15.210] 收到数据 seq=26, len=48
[2026-06-13 00:03:15.210] 收到乱序 seq=27, 期望 26
[2026-06-13 00:03:15.210] 收到乱序 seq=28, 期望 26
[2026-06-13 00:03:15.210] 收到乱序 seq=29, 期望 26
[2026-06-13 00:03:15.211] 模拟丢包：来自 ('192.168.169.1', 52096) seq=30
[2026-06-13 00:03:15.527] 收到数据 seq=27, len=51
[2026-06-13 00:03:15.530] 收到乱序 seq=28, 期望 27
[2026-06-13 00:03:15.530] 模拟丢包：来自 ('192.168.169.1', 52096) seq=30
[2026-06-13 00:03:15.531] 收到乱序 seq=29, 期望 28
[2026-06-13 00:03:15.841] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=28
[2026-06-13 00:03:15.842] 收到乱序 seq=29, 期望 28
[2026-06-13 00:03:15.842] 收到乱序 seq=30, 期望 28
[2026-06-13 00:03:16.153] 收到数据 seq=28, len=62
[2026-06-13 00:03:16.156] 收到数据 seq=29, len=40
[2026-06-13 00:03:16.161] 收到数据 seq=30, len=59
